tupi,portugues_pred
"ereîtykype kunumĩ amõ nde 'arybo moropotara suí?","Você sabe que eu sou o seu 'arbo moropotara suí'?"
"oporandu benhẽ, n'i angaîpaba amõ supé ogûasema ruã-te","Perguntou-lhe se é verdade, não é que ele tenha sido enganado se ele não tivesse sido um grande homem"
"auîebeté kó aîkó, ndébo ko siri reru","Só ouvi que há, não há reru sirio"
"iî abaíbeté asé atá mysakanga","Algum abaibete de milho"
"tekorama ri îeapysaká","vida para a vida"
"oromoeté-katu nde xe pysyrõagûera resé","O que é que você pode fazer para não perder o seu carrinho"
"xe moaîu-marangatu aîpó tekó-pysasu","Xe moaíu-marangatu tem vida"
"mba'e-aé","o que é"
"pé rupi ogûataba'e","por isso ele foi"
"sepŷápe, ereîakasó","em sepultura, você vai dizer"
"aîapapûar","Eu estava a trabalhar"
"xebe teîkeara","xebe todos os dias"
"a'é benhẽ","Eu sou certo"
"kûybõ oma'ẽ-nhemima","o urso olha-lhe"
"eîmoeté nde ruba nde sy abé","que o seu avô esteja ao lado da sua mãe"
"salve rainha oré îerobîasaba","salve rainha por nós"
"asasab pé gûitupa - estava atravessado no caminho aînĩ-asab","Assab que gûtupa - estava atravessado no caminho aíni-asab"
"xe risi'ĩ","xe-rido"
"asyby'ab","dor"
"amõ kunhã suí i moingoébo","eu sou de manhã suíça e moingobo"
"ybyrá itá-monhangymbyra kupépe","mar em frente à sua mãe"
"xe rabarab","xe rabarab"
"aîemĩngatu kó gûitupa","Eu posso colocar isto em cima"
"ka'ape asó","no campo"
"nde 'anga osapy satá ogûeîypa","sua 'figura se espalhou até que o céu caisse"
"ara yby sokeme, xe ruri","mar de sol, xe ruri"
"apak gûitupa","Eu sou muito velho"
"itá-u'uburu","rocha-ouro"
"pe rekate'ym sesé","a sua paixão é"
"xe 'anga","xe 'anga"
"n'aîpotare'ymi","não quero muito"
"nde ko'ema, 'ara rorypabeté","já está, 'ara estamos felizes'"
"îaîpó-asá-sá i py resébe, krusá sosé nhẽ xe îara moîá","A cabeça de um homem com pés de pé, a cruz de um homem com pés de pé, a cabeça de um homem com pés de pé, a cabeça de um homem com pés de pé, a cabeça de um homem com pés de pé, a cabeça de um homem com pés de pé, a cabeça de um homem com pés de pé, a cabeça de um homem com pés de pé, a cabeça de um homem com pés de pé, a cabeça de um homem com pés de pé, a cabeça de um homem com pés de pé, a cabeça de um homem com pés de pé, a cabeça de um homem com"
"i 'a","Eu 'a"
"-nde rapixara pixé, mba'enem-y îu!","-se você está se piscando, que merda!"
"inimbó'i amõ reru","Inímbolo em frente de você"
"arokakar gûenũ","eu joguei de cor"
"eva, îandé sy-ypy, onhemomotareté 'ybá-poranga resé, mboîa nhe'enga rupi","Eva, prima, diz que tem ""porra de um bebê"""
"aî'atybakã-moín","eu tenho uma cabeça de cabeça"
"aîmaman okytá ysypó pupé - amarrei o esteio com cipó aîmaman ysypó okytá resé","A minha mãe está no meio do meu pupé - amarrei ou esteio com cipó"
"oîoaûsu-katupe amẽ oîopopysykyba'epûera?","Será que o meu pai está em situação de saúde?"
"marãpe nde rerokaba abaré reminongûera?","em que mar você foi para a abereira?"
"xe atimandápe","xe em atimanda"
"aîpoepyk pero","Eu estava muito triste, mas"
"oîme'eng-y bépe tupã ikó 'ara pupé mba'e amõ i angaturamba'e supéno?","O que é que Deus faz com que eu seja um deus de todo o mundo?"
"eboûĩ nde resá erobak oré koty","coloque os olhos em casa"
"apyterybỹîa","circunferência"
"akó ybakype ogûekó îakatu, îandé îara rekóû miapepûera pupé nhẽ abaré pópe re'a","No fundo do mar estava a escuridão, mas a vida de madrugada não era tão fácil como a de um cão que estava a dar a mão à outra"
"orébe t'oré mondyki, nde irũmo t'oroîkobé","quando você está com a sua amiga, você está com a sua amiga"
"oîerokype asé santos ybakypendûara supé bé?","Será que dançaram os santos no sopé do Ybakypendü?"
"i ma'enduar","eu ouço"
"putunusu porarábo, oroîkotebẽngatu","putunusu porarábo, oríngue porábo"
"y-embe'yba","Água-pesca"
"og ubixaba abé asé osapîá","O local é um dos melhores"
"aroby-katupe ká i porangepîá-katûabo","aroby-katu é um dos maiores"
"morabuká-katu","morabuka-katu"
"nd'e'i te'e sero'a-ro'a i posyîa suí","Não disse que seria serra-roa sua posyihá suí"
"aîkugûab","eu estava"
"îudeos ekomonhangábo i 'apira mondoki","Íudeos ekomonhangábo i 'apira roboki"
"akaruk","akaruk"
"turagûera moetesabamo kó 'ara îamoeté","Turagûera deve se molestar"
"aîepy-mongaraû","de um dia a outro"
"aîme'engĩ","Eu estou com raiva"
"marã-tepene?","marão-tepene?"
"asa'ubar","espero que você"
"ikó îu'i t'ere'u sepy resé","Dormir com o seu rosto"
"mba'easybora remimborará moarybé-ukasara bé 'ykaraíba","O que é que você vai usar para fazer o que quer que seja"
"i xama ri arasó","eu já tinha uma camisa de ar"
"xe nhy'ãme t'ereîké, xe py'a moingatûabo","xe nhê em rosto, xe pés moingatabo"
"nã takó îomomoranga re'a?","Não é que ele não vai dar a sua honra?"
"kó xe 'anga, nde rusaba, nde rupabamo t'oîkó","Esta é a imagem, a tua ruba, se a tua cama estiver fechada"
"i angaturamba'e reté i pokãngatu kûarasy sosé oberapa","O corpo de um homem é atingido por uma doença que o deixa sem efeito"
"tining-atã","Tintinagem"
"oré tupãoketá","somos religiosos"
"setá nhẽ ygasabusu","setá nhẽ yagasabusu"
"okûabépe irã so'o, gûyrá, pirá, ka'a?","O que é carne, carne, dinheiro, legumes?"
"t'oîkó umẽ oka rupi oré 'anga monguébo","""Não há nada que possa ser feito para o mundo""."
"esa'angyne serasóbo","esseangyne seráasóbo"
"t'oîkó pabẽ ybypesûara nde remimotara rupi","Pão de neve por causa do seu remimotara"
"katunhẽ eîerurébo oré katûagûama ri!","O que é que se passa com o carro?"
"asereb","Serra"
"i angaîpaba suí i moîepe'aesapy'a-uká","O que é que é que é o que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é"
"itá karamemûã pupé i mondepa","Pedra de carameu pupé e mondepa"
"xe parati 'y suí aîu, rainha repîaka, xe akanga moîegûaka","Xe parati 'y suí áiu, rainha repíika, xe akanga moíegúaka"
"o aobusu mondoró-ndoroka o marãmotaramo","na cidade de Marrocos"
"endé, nde îybápe, îesu eresupi","onde, em tua boca, Jesus te vai"
"so'o mbo'isaba","carne de alho"
"ose'ymype gûá?","Ele se virou?"
"seébo","seébo"
"o monhemombe'ûarama resé oîkotebẽmo","O monhemurrama diz que vai haver"
"i momokõîndûara mendara moîekosupaba","A primeira é a de uma luz que se abre"
"xe nhe'engyrygûan","xe nósengüüüan"
"aybyrá-pan","aybyrá-pan"
"temone a'ereme osykamo","temone quero que ele saia"
"na xe repy-marangatuî","na xe preço-marangatuí"
"ogûatápe oré rekyîa","quando se aproxima de nós"
"rerityba","deslizou"
"kuîa nhẽ i tĩ-ngá-tĩ-ngábo","carne de cavalo"
"anhe'eng-atã","eu-engra-so"
"penhemoma'enduá anhanga ratápe i porarapyra resé ta pe angaîpab umẽngatutenhẽ","Ouviram que na minha foto de ratanga é muito bom dizer que o erro é o que eu faço"
"mamõpe i xóû o mba'e'u-pab'iré?","A mãe tem um pouco de comida?"
"ka'amondoara","calamondoara"
"só-kyra","só-kyra"
"ixé xe katueté","ixé xe geralmente"
"xe roŷpyre'yma","O que é que é o que é?"
"i porambyrambykĩ xe nhemosaraîa ixébo","O novo veículo foi despejado no local"
"oporokurá-kuraba'e","recomendou-se"
"kunumĩgûasu catorze ro'y resé i xyke'yma, nd'e'ikatuî abá resé omendá","Catorze jovens com frio no braço, não conseguem casar"
"aîty-kukur","aíty-kukur"
"oîme'engîeby sepypûera morubixabetá supé","Há uma grande quantidade de morubixabeta supé"
"abápe aîpoba'e oîmomaran?","Onde é que eu vou me acostumar?"
"mba'e apŷabap'aîpó?","O que é que eu tenho?"
"asó amẽîepi","Eu vou para o lado"
"marãpe karaibebé tupã resé îerobîasara rubixaba rera?","Em que dia do rei Bebé se deu a ordem de ser adorado com a rubixaba?"
"setá, sesé oîopuru-purûabo o kane'õ-ne'õnamo","Setá, seis estão em uso-purúbo ou em incêndio"
"oré pysyrõ-te îepé mba'e-aíba suí","só temos que fazer o que é mais importante"
"okuî rakó amũme 'ybarambûera o 'yba suí 'ybotyramo oîkóbo bé, amõ rakó ogûakyra pupé i kuî, amõ rakó ogûaîub'iré i kuî","O ""mar"" é um ""mar"" que é um ""mar"" que é um ""mar"" que é um ""mar"" que é um ""mar"" que é um ""mar"" que é um ""mar"" que é um ""mar"" que é um ""mar"" que é um ""mar"" que é um ""mar"" que é um ""mar"" que é um ""mar"" que é um ""mar"" que é um ""mar"" que é um ""mar"" que é um ""mar"" que é um ""mar"" que é um ""mar"" que é um ""mar"" que é um"
"îukae'yma","sorria"
"xe rasok","xe rasok"
"kó oroîkó oronhemborypa","que vai ser divertido"
"îandé monhangara nhẽ erenoĩ nde îybápe","éandé robhangara nhẽẽ você coloca em seu rosto"
"oporakakab? abá?","Perguntou-lhe?"
"xe agûy-agûy","xe agulho-agulho"
"îamongûá moxy ru'uba","a seguir moxy ruuba"
"aîeká","Eu estava"
"xe yî","mar"
"îaru!","Olá!"
"-karaibebé serã, kó taba rarõaneté","-para ser mais tarde, esta tabela é muito rara"
"eîmoingó-puku-katu kó taba tupã resé","eimoingó-puku-puku é o nome de Deus"
"mba'e resépe îuky-karaíba mondebi asé îurupe?","Em que lugar é que a íuky-karaíba se deslocou?"
"oré remi'u 'ara îabi'õndûara eîme'eng kori orébe","""Não há nada de errado com o que fazemos"""
"aûîé, xe îuká îepé!","Dia, dia, dia, dia!"
"ku'aî","a pele"
"xe parĩ","são dois"
"o'anga koîpó abá 'anga koîpó santo amõ ybakype tekoara renõîndara abé o îuraragûaîamo nhẽ, marãpe?","A imagem de um santo na terra é uma imagem de um santo que não tem nada a ver com a natureza, mas que não tem nada a ver com a natureza, não é?"
"kobé xe îurupara","cobé xe seuurupara"
"n'ama'ẽî","não olha"
"mytamytá-ypy","mistério"
"i porãngatu sekó","eu sou muito bom"
"anhemoeté-a'ub","anhemoeté-a'ub"
"ereké-pipó eîupa?","Vocês têm um pouco de pão?"
"ybytyra amongoty","A água está a secar"
"i akanga resé a'e takûara reropûá","Eu tenho que ir para a praia"
"t'i poraká apó abá","tese de porco"
"i akytãmbûera","a sua idade"
"oré remi'u 'ara îabi'õndûara eîme'eng kori orébe","""Não há nada de errado com o que fazemos"""
"oîkuab i marangatueté","existkuab a sua Santidade"
"iîysapuku sama amõ","Os raios caíram"
"xe roka pobu-potá","xe roka povo-boa"
"ipuku erimba'e îandé rubypy rekóû îase'o-monhanga","Durante muito tempo, você vai ter uma vida de amor"
"t'oú turi - deixa-o que venha t'oú turi ranhẽ","t'ou turi - deixa-o que venha t'ou turi ranhẽ"
"pe rory, xe ra'yretá, xe ri","o rory, xe filhote, xe ri"
"îandé rarõmo","a sua mãe"
"miapé-ybakygûara, apŷabebé remi'u","minha-de-velha, minha-de-velha"
"nde ram","seu ram"
"o îoamundabamo oroîub","se o seu amundabb se"
"aîpó resé nhẽ, ko'y asaûsu","Eu tenho um pouco de medo, mas hoje é dia de manhã"
"eremondarõpe nde remirekó suí?","espera sua esposa suíça?"
"o py'ape oîeroŷrõmo","em pé se não houvesse"
"xe ybyri tuî","xe ybyri velho"
"ereîmoîebyrype kaûĩ nde poesemõneme?","Você poderia ficar longe de sua casa?"
"ne'ĩ a'é","não sou eu"
"nde raûsuba poepyka","seu raûsuba cama"
"okena robapy","chão de robó"
"tapi'irokaîa","companheira"
"ne'ĩ n'endé aé","não te esqueças"
"oîoîabenhẽpe tekokatu resé o a'yra moingoagûama ri i nhemosaînanyne?","Será que há alguma coisa que não seja de bom humor ou que seja de bom humor?"
"îandé moîeapykáû ikó 'ara pupé ranhẽ","O que é que é um ""paço"""
"xe resemõ sauîá","xe resemão saupa"
"gûyrá-sapukaîa îabé ereîetu'u nde atõî nhote abá, aûnhenhẽ eresó nde rokápe enhe'engá, nde rapopé moboka i xupé","""Sou muito feliz com o meu trabalho, mas não tenho medo de fazer isso."
"t'iru! ou iru!","Tão rápido!"
"xe-te, xe rembiá-potá sabeypora amõ resé","xe-te, xe-de-refeição sabe-se-de onde vou"
"mba'epûera peîépe?","O que é que você tem?"
"îé, aîpó xe moytarõ","Sim, eu estou esperando"
"îabendûara","em abendulá"
"irõ bé!","Meu amigo!"
"opabẽ taba mondyki","todos taba mordiqui"
"asaembe'e","Eu espero"
"xe ropá serã?","Vamos para a estrada?"
"sapixara rerasóbono","sapixara reerasobono"
"i xy mombe'u-poranga xe moingotebẽngatu","História de Xy-poranga"
"-oîerokype asé cruz supé? -oîeroky -a gente se inclina junto à cruz?","- dançou a cruz supé? - dançou - as pessoas se inclinaram junto à cruz?"
"xe t'oropysykatu, xe mundépe nde mbo'a","se você continuar, se no mundo você aprender"
"ereîápe so'o îagûara remiîukapûera?","Onde é que você acha que o carneiro está preparado para a sua refeição?"
"oîké îugûasu, i akanga kutuka","há água, há um pouco de água"
"okytá","caiu"
"mba'epe asé reté remi'u?","Em que é que você come?"
"i por irãne","eu vou ser bom"
"n'i pori be'ĩ xe aîó","Não pode ser um pouco mais do que um pouco"
"asereb","Serra"
"tupã tari","deus da tari"
"abebé kó ybytu îá","Abebe é um monstro"
"our benhẽ i kera pé nhẽ obasemano","O presidente da República, José Manuel Barroso, disse que o governo não pode deixar de ser o responsável pelo processo."
"aîerobîá-pyryb gûitekóbo","Eu tenho um pouco de medo"
"osóbo bé","ele foi bem"
"i kanga îepotasaba pe'abo o îosuí","O que é que eu quero dizer é que eu quero que você me diga"
"kapi'ĩ sosé kó tuî, tapi'irusu karuápe","A sua casa fica em silêncio"
"aîapyr-etab","aapyr-etab"
"ereîápe nde mba'e 'u roîré koîpó mba'e amõ mokon'iré?","Como você diz que 'e nós vamos ter um pouco de tempo para ficarmos juntos?"
"marã-pakó xe sy xe mbo'ari erimba'e?","Marã-paco xe mãe xe ensinou a seu filho?"
"apŷaba nd'e'i te'e o 'ybamo nde mo'ama","Não me disse que ia 'ir para o seu altar'"
"eîori xe 'anga reîa, i motinga","Eori xe 'anga reia, sua motinga"
"pitanga robá sesãî i xupé","Igreja rouba o seu sangue"
"aîpoepyk semikûatiara","Eu tenho um pouco de semicúria"
"tupã ra'yreté anhẽ ikó abá","Filho de Deus, eu vou dormir no abá"
"nd'e'i ymûanĩ ahẽ aoba moaûîébo","Não disse que na velhice ia ao ar livre"
"xe momotîasó ahẽ nhe'enga","que eu quero ir ao meu lado"
"o 'anga resé oîeangûabo","O 'retrato' está em movimento"
"oîkó bé xe taŷaíba","haverá uma boa xecaíba"
"i 'amopikytĩpyra","""Eu me engano"""
"xe îeysá-puku","xe-i-puku"
"se'yî i kuabypyre'yma tupã i monhangara remingûaba nhõ","Seyyy seu sol tem de ser o deus do ladrão"
"nde pytuẽ na satãngatuî maíra!","seu descanso no mundo seja!"
"kunumĩ-nhembo'e","Conhecimento"
"ogûerasó amõ okusupe seroîkŷabo","deslizou-se na boca de um sereno"
"îagûara biãé ererasó, gûa'ysé o îoesé posé o ẽme, oîepysyrõ bé'ĩ","Parabéns por tudo, por tudo, por tudo, por tudo, por tudo, por tudo, por tudo, por tudo, por tudo, por tudo, por tudo, por tudo, por tudo, por tudo, por tudo, por tudo, por tudo, por tudo, por tudo, por tudo, por tudo, por tudo, por tudo, por tudo, por tudo, por tudo, por tudo, por tudo, por tudo, por tudo, por tudo, por tudo, por tudo, por tudo, por tudo, por tudo, por tudo, por tudo, por tudo, por tudo, por tudo,"
"emonã ûĩ sekóû","aceitar um silêncio"
"îudeus supé sepîakuká","Íudeus supé sepíquakuá"
"xe tĩ-titing - meu nariz tem titinga xe py-titing - meus pés têm titinga xe pi-titing","X-Nose-Titing - Meu nariz tem titinga X-Nose-Titing - meus pés têm titinga X-Nose-Titing"
"n'i tybi tugûy nde membyrasápe","Não há um buraco na tua infância"
"kó xe musuranusu","este é o musuranusu"
"typy","tipo"
"na tenhẽ ruã","não lançar o rosto"
"asepîakatu","Muito obrigado"
"aîmimby","eu entendo"
"ereîmombe'upe abá marã'eagûera nde mba'epûeramo?","Você me diria que é um dia de férias para você?"
"tekate'yma robaîara tekate'yme'yma","caras de caras de caras de caras de caras de caras"
"anhamĩ - espremi-o aty-amĩ","associação - espremi-o grupo"
"katunhẽ eîerurébo oré katûagûama ri","Catolicismo é um dos principais fatores de saúde do país"
"xe nhe'engarũaíb","que não se esqueça"
"osó xe ruba béno","saiu por ruba bem"
"aîmamã-rok","eu tenho-roque"
"sendaba","caminho"
"îo'u","Ele comeu"
"ara nhemomosapyra pupé","dia em que não se dá a volta"
"t'ereîuká ixébe paîé-aíba supé","A primeira vez que o homem se torna um homem, ele não é um homem."
"sesé nhõ abá resá apysykamo ybakype","Seis dias de vida em que eu vou para o mar"
"aîukatu","Eu posso gritar"
"nyn-nyng a'é","eu sou nyn-nyng"
"xe 'anga rekobepûera xe remimokanhẽûera oîmoîebyrukar ixébone","Xe 'imagem de arte de xe' no início de semana"
"i angaturãngatu moeburusûabo","o moeburguês de grande poder"
"aûîeté pakó aîegûak ûiîemoúna","Eu só tenho um pacote para ir embora"
"aani-xûé ipóne","aani-xûé para o longo"
"t'oroîtyk oré poxy","toroityk é muito fixe"
"i îomba'e","a sua importância"
"amõ anhangusu-manhana îepimemẽ xe momboî","em que o anhangusu-manhana é um trânsito"
"xe rembiá-potá sabeypora amõ resé","O que fazer com o banho"
"sobábo akûab - diante deles passei nhoesembé robábo i kûáî","sobábo akûab - diante deles passei nhoesembé robábo e o seu"
"abá mongagûabo koîpó se'yma","abá ladrão de abó"
"a'e roîré ko'yté i koty obaka onhe'eng-abaetéramo","Eu disse que nós estaríamos no quarto quando a porta estava fechada"
"ereîeîopyk-ukarype nde maranungaramo?","Você tem um pouco de medo quando você se apaixona?"
"opabĩ nde momoranga","toda a tua vida"
"aîmoaikatu","Eu posso"
"eîori, xe îarĩ gûé, ta sorybeté xe 'anga nde 'aragûera resé","E aí, é aí, é aí, é aí, é aí, é aí, é aí, é aí, é aí, é aí, é aí, é aí, é aí, é aí, é aí, é aí, é aí, é aí, é aí, é aí, é aí, é aí, é aí, é aí, é aí, é aí, é aí, é aí, é aí, é aí, é aí, é aí, é aí, é aí, é aí, é aí, é aí, é aí, é aí, é aí, é aí, é aí,"
"mba'e-u'uma, taîasu!","comida, bebida, comida!"
"anhẽ, n'i tekokuabi","sim, não há cultura"
"a'e abaré nde mongaraipara iraîtytataendy me'engi nde pópe","Eu te dou um abraço para o teu mongaraipara irriteias lampada que te vai dar nas mãos"
"marã e'ipe o boîá mosapyr supé mitỹme o iké ré?","O que é que você vai fazer com o bobo de mosapiro de um filho ou de um sonho?"
"marãnamo-piã xe pe'a îepé, pa'i gûé?","Se você estiver bem, padre?"
"xe 'anga omonem tekoangaîpaba","Xe 'anga aceita a natureza"
"nde rorype abá serekomemûãagûera resé?","em seu rosto há algum sermão que você tenha?"
"ta sasẽ, oîasegûabo!","Chorei, estou bem!"
"aîar itaîuba pedro suí","na manhã de ontem pedro suí"
"aîmoîa'ok","Eu me batizei"
"koba'e îá","que é"
"anhynhyng","Aníbal"
"ikó 'ara pupé bé o angaîpagûera repyme'ẽngatusarûera ybakype aûnhenhẽ serasó-uká","""A noite de hoje, quando o preço da bebida está em alta, eu vou ficar com a sensação de que o preço está em alta."
"aporokuaukar","empregador"
"a'e-te kaûĩ pûaîtara","Eu só digo que é um dia de folga"
"xe mendûera ipó re'ĩ","xe mendúera com o seu peito"
"t'okanhẽ pe rekopûera","comer a vida"
"t'aka'une!","que se torne forte!"
"eîpytybyrok xe roka","se sentem em direção ao rio"
"pekaî oîepegûasune","A dor é um problema"
"a'epe supindûare'yma resé tupã renõîndara, marã?","Eu disse que eu sou o supiendúria que você está diante de Deus, não é?"
"ma'e resé îandé nhomongetá?","Que você sabe sobre o que é que você está fazendo?"
"pysaré serã ereîkó arinhama mokanhema?","Será que vou parar de me chamar para vocês dois?"
"nd'oîkóîpe mba'e amõ tupã 'ara monhang'e'ymebé?","Não há nada que eu possa fazer com que Deus 'se arde com o meu filho'?"
"lisboa akûeakoty","Lisboa fechado"
"angûera resé tupã mongetasagûama","Anúera resé antes de deus mongetasagûguê"
"eîori oré pokoka","eori nosóre jogando"
"t'oîporeaûsuberekó îudeus","ele substituiu os judeus"
"marãîasûaramo tupã xe rerasóû mã!","Nos santos deuses de xê, ouvimos!"
"esykyîébomo, ereîkó-katumo","se esquibe, você vai-se-poderá"
"karaibebé serã, kó taba rarõaneté","Senhor, não é, esta tábua é raríssima"
"sobyba'e","sobrepeso"
"oîeperemõndûara","estão em peregrinação"
"anhonongatu o îoupé","não posso manter"
"paranãendy","Paranaense"
"tapuîa rarõsara","ação de um"
"îandé-te, îandé retama t'ixepenhan","Tixepenhan, uma cidade do sul do país"
"té! oîpotareté îandé ramuîa o ekobîareté îandébe","té! é poderé que sejamos mais ou menos poderés"
"xe angaturã be'ĩ temõ erimba'e mã!","Se você é um homem, você é um homem!"
"marã oîkóbo-tepe asé anhanga rembiaûsubamo sekóû?","Será que o homem vai estar em um momento de vida de amor?"
"o îarĩ kuapa aunhenhẽ","que há quem me envie"
"xe nhe'engangaturam","xe nhe'engangaturam"
"sa'ĩ xe îukae'ymi","um pouco de riso"
"ten amo'e","eu disse"
"n'oîmomarã-mirĩ-angáîpe ybakygûara tupã remimotara?","Não é que o povo de Deus não se esqueça de mim?"
"nha'ẽ-pyko'ẽ","não falar-de-boca"
"arurusu","arurusu"
"aîpó abá ma'e îara îandébe","Eu tenho uma boa noite"
"asakypûemomosem","vamos vestir"
"catorze asé remierobîarama","Quatorze dias de religião"
"aûîé! xe rorybeté","aúê! xe rorybeté"
"irumõmbyra","Filhos"
"a'epe se'yî kunhã tupã supé onheme'engyba'e oîkóbo","Eu disse que a deusa supê deu-me a certeza de que haveria"
"xe aterẽngatu","xe aterroriguado"
"tó! mamõpe ahẽ rekóû?","Tô! Onde vou eu para a vida?"
"s pedro itangapema osekyî","s pedro de sua família se esbarrou"
"îagûara remiîukapûera","Agradecemos a sua participação"
"aîpobu gûaîbĩ py'a, i moŷrõmo, i momarana","Eu tenho um pouco de medo, mas não vou, não vou"
"i apysy-katueté","eu estou muito bem"
"nã temõ ixé serubi mã!","Não se esqueça de ser um idiota!"
"xe mba'ekugûab","que é o que é"
"okuî rakó amũme 'ybarambûera o 'yba suí 'ybotyramo oîkóbo bé, amõ rakó ogûakyra pupé i kuî","""Não há nada de errado com o que eu quero"", disse."
"moroîtykara","moritiquara"
"asé apysakûá-puka potá","Eu tenho que rir muito"
"t'aîmopóne nde nhe'enga","eu te vou dar a luz"
"gûymaenhẽ gûixóbo","na primeira vez em gûixóbo"
"ahẽ nhõ ikó i mba'e-katu, xe suí mã!","Eu vou para o quarto de casa, xe suí mau!"
"kamusi pora","kamusi pora"
"ygá-pype","em casa"
"oîaratã serã i aoba i nupãsagûera i moperé-perebagûera resé?","Será que o meu pai vai ter um novo emprego?"
"umãmepe sekóû?","em seu interior?"
"tatá-endy-etá, asé apekũ-abyare'yma anhõ osepîak","fogo-luz, a pele de um homem se deslizou"
"peîori, perasó muru","vocês, vocês, vocês, vocês"
"aryryî, opá xe uba îesyî","de longe, de longe"
"apykabapu'a","Sento-me"
"xe rygeaíb","xe rygeaíb"
"oka'ugûasu pabẽ","deslizou o pavé"
"abaré abépe asé oîpiamondó?","A abertura da abertura é sempre um sinal?"
"aka'apîasó","eu vou ficar calado"
"tupã rerobîá-katu nde py'a suí nd'o'iri","Deus roube-te os pés suíços"
"nd'ei te'e, o py'a pupé oîemongetá-ngetábo, tupã momburukatûabo","Não sei, não sei, não sei, não sei, não sei, não sei, não sei, não sei, não sei, não sei, não sei, não sei, não sei, não sei, não sei, não sei, não sei, não sei, não sei, não sei, não sei, não sei, não sei, não sei, não sei, não sei, não sei, não sei, não sei, não sei, não sei, não sei, não sei, não sei, não sei, não sei, não sei, não sei, não sei, não sei, não sei, não sei,"
"-anga îápe pe roka? -oîkoé-katu","-A foto está na rocha? -Pode haver"
"îapopûaratã, i moangaîpapa","a sua obra, a sua obra"
"saûsuba rerekóbo","saûsuba"
"xe potaba nde!","É você!"
"i mara'aryba'e","sua maravilha"
"eresugûykápe kunhataĩ amõ?","onde você está em um lugar onde eu estou?"
"xe ramũîa îagûaruna","Xe novo em dia"
"marãpe i kugûabine?","em que mar é o cucuabine?"
"sesé onhemonane'yma, oîabé sekó potare'yma","Seis são muito raros, há muito bem"
"paranã momungábo, ybytyra apyra sosé katu i mopu'ama","Parana em frente, mar de terra está tranquilo mas está cheio de água"
"y anhẽ","água doce"
"marã-marã-pakó îeí xe rekóû?","O homem-mar-pacote é um bico de ônibus?"
"xe nhe'ẽ-matueté","é sim-sim"
"y-akã","cabeça de água"
"asa'embé","Eu espero"
