portugues,tupi_pred
"A gente obedece também a seu próprio chefe","t'e'îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Hei de me aproximar muito dela para ver bem sua beleza","aîe'i-peîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"bom trabalhador","omba'apó-pyranga"
"Por isso mesmo ficava caindo com ela por causa do seu peso","aîe'ypype îaîmoîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Agradeci-o","aîmoîasé"
"Segundo o rito dos judeus, seu prepúcio cortaram","i îubé-yûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûû"
"Urinei","aîupé"
"Como modo de honrar sua vinda, comemoramos este dia","aîeîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Desconjuntei-me o pé","xe py-pyrõ"
"Dei-o por dar","aîmoîasé"
"E pois, como há de ser?","aîe, mba'e'e'e'anga?"
"Tomei-o em seco","aîmoîîa"
"Estas rãs, que as comas em retribuição por isso","ko'ã rusu, îaîmoîa-pe îaîmoîa"
"A água benta é o que faz abrandar também o que os doentes sofrem","y marangatu îaîba'e îaîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba'eîba"
"Levo-o na sua trela","aîe'õ-pe"
"Que entres no meu coração, guardando bem meu interior","xe korasó-py nde resé îapytá"
"Assim havemos de nos acariciar?","asé îaîmo'îabo'i?"
"Eis que minh' alma, à qual tu vens, há de estar como teu leito","nde rué, nde resé, nde ybypóba resé"
"Os corpos dos que são bons serão sutis, brilhando mais que o sol","i poty-pûa-pûa-pûa-pûa-pûa-pûa-pûa-pûa-pûa-pûa-pûa-pûa-pûa-pûa-pûa-pûa-pûa-pûa-pûa-pûa-pûa-pûa-pûa-pûa-pûa-pûa-pûa-pûa-pûa-pûa-pû"
"coisa mirrada ou muito seca","mba'e i'aîasé"
"Nós temos muitas igrejas","tupã-py'aîba"
"São muitas, com efeito, as grandes igaçabas","i'aîba, i'aîba, i'aîba"
"Escaparão futuramente os animais de caça, os pássaros, os peixes, as matas?","oîe'îaîba'e'i, yké, pira, ka'aîba'e'i?"
"Que ele não esteja pelas ocas a agitar nossas almas","n'aîmoîasé îara'e-ara'e îandé îandé"
"Prova que o levas!","nde resé!"
"Que esteja tudo o que está na terra segundo a tua vontade","nde rembipotápe îeré nde resé"
"Eia, roga por nossa virtude!","eîa, îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Chamusquei-o","aîmoîasó"
"Mandando-os fazer afastar-se logo de suas maldades","aîe'anga-pe îe'anga-pe îe'anga"
"Pondo-o dentro de um túmulo de pedra","aîmoîmoîa-pe yképe"
"Do rio dos paratis vim para ver a rainha, enfeitando minha cabeça","paratis yképe aîe'õ resé xe resé, xe akó-aîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Suas túnicas ficando a rasgar, estando furiosos","i ao-pûaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Tu, em teus braços, Jesus ergueste","nde ru'ype îesu îasó"
"lugar de retalhar a carne, açougue","a'e'y-pûaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Deram-lhe de beber?","i'e'õpe i'e'õ?"
"Ralando-o","aîe'õ"
"tendo falta de um confessor seu","i îe'õ-yûaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"A segunda dele é a satisfação dos cônjuges","i mokõîaîîîoîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Eu sou fingido","xe xe moîa"
"Lavro as madeiras","xe yba'e"
"Oxalá chegasse então","aîeîmoîaîaîaîaîa"
"Eu não tenho preço alto","xe xe rekó-pûa"
"para seu fogo arrastando-nos","i îaîba îaîba"
"""ajuntamento de ostras"", nome de um lugar","oîstara-py'aîba"", iîaîba ré"
"Das cuias quebrando as pontas","i'aîba-ypa"
"Falei duramente","aîe'oîaî"
"Lembrai-vos do que se sofre no inferno para que, de modo nenhum, pequeis","peîe'ypype peîaîba'e'ypype peîaîba'e'ypype"
"Aonde ele foi após acabar de comer?","aîpe îaîpe îaîmoîaîa?"
"o que caça, caçador","oîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"folha tenra","yby"
"Eu sou melhor","xe xeîaî"
"minha ausência","xe moîaî"
"Estava agradável a mim meu jogo","xe rekó xe rekó"
"O que fica escarnecendo das pessoas","oîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Um rapaz, não chegando aos catorze anos, não pode casar-se com ninguém","mitã'y, n'oîmoîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîî"
"Sorvi o caldo","xe apó"
"Devolveu seu pagamento aos príncipes","oîmoîaîoîaîoîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Quem desobedece àquele?","aîpe îaîmoîaîba?"
"Que índios são esses?","mba'e ybype'i-pe?"
"Ia de costume","aîe'ypy"
"Qual é o nome do chefe dos anjos que confiam em Deus?","mba'e-pe îandé îandé-pûeraîa-pe îandé-pûeraîa?"
"Eram muitos, para se revezarem uns aos outros nisso, ficando cansados","i'aîba, i'aîba'e'i-pe, i'aîba'e'i"
"Mas livra-nos tu das coisas más","nde resé-gûaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Caem algumas vezes os frutos de suas árvores, sendo ainda flores, outras vezes em seu estado verde, outras vezes caem após seu amadurecimento","i yby'a-py'a i yby'a-py'a i îaîba, i yby'a-py'a, i yby'a-py'a-py'a, i yby'a-py'a îaîba i îaîba"
"não matando","n'îîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîî"
"Eu tenho vermes","xe xe apé"
"Aqui estamos para nos alegrar","aîe'îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Nosso criador fazes estar contigo em teus braços","ore remomba'epe îepûeraîmo îepûera"
"Censuram? Quem?","aîe'oîa?"
"Eu estou cambaleando","xe xe apé"
"Fazemos passar as flechas dos malditos","t'amoîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Quebrei-me","xe xe apé"
"Eu estou poento","xe xe apî"
"Tragamo-lo!","aîe'îa!"
"Talvez seja o anjo, guardião verdadeiro desta aldeia","aîe'i îanga, ko'ẽ ybyba'e moîasé"
"Faze estar muito longamente esta aldeia em Deus","aîe'anga kó kó kó-y tupã-pe"
"Por que põe sal bento na boca da gente?","mba'epópe îaîmoîa-pe îaîmoîa-pe?"
"Nossa comida, a que é de cada dia, dá hoje para nós","asé îandé, îandé îandé, îandé îandé"
"Basta, tu me matas!","xe'e, nde xe moî!"
"na cintura","i apé"
"Eu manquejo","xe apé"
"E mentindo aquele que invoca sua própria alma, a alma de alguém ou também algum santo que está no céu, que acontece?","aîpe'aîpe îaîpe îaîpe îaîba îaîba îaîba îaîba îaîba îaîba îaîba îaîba îaîba îaîba îaîba îaîba îaîba îaîba îaîba îaîba îaîba îaîba îaîba îaîba îaîba îaîba îaîba îaîba îaîba îaîba îaîba îaî"
"Eis aqui meu arco","xe aró"
"Eu não enxergo","xe xe xe'îaî"
"topo de escada","ybypa"
"É muito belo seu proceder","i porandé i apó"
"Envaideço-me sem motivo","xe apé-pûaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Estavas realmente dormindo?","ereîmoîîasé?"
"além das montanhas","ykéba"
"Em sua cabeça batendo com aquela cana","i akûe-pykûa-pykûa"
"Procuremos alimentos para aqueles homens","asé îaîmoîaîba'e îe'anga"
"as porções miúdas dela, o refugo dela","i sy'anga, i moîa"
"Nossa comida de cada dia dá hoje para nós","oîaîo-aîo-oîo-oîo-oîo-oîo"
"Conheceu sua autêntica bondade","i porandûeraîa"
"Eram compridas algumas cordas","i'aîba'e i'aîba"
"Querendo revirar minha casa","xe kûaîba îe'õ"
"Longamente nosso pai primeiro esteve chorando","i'e'ypy îandé îandé îandé îandé"
"Deixa que venha primeiro","aîe'îaîaîaîaî"
"Alegrai-vos, meus filhos, por minha causa","peîporomoîasé, xe ra'y, xe resé"
"Guardando-nos","oîmoîapyr"
"Pão celestial, comida dos anjos","yby'a-y, îandé-yby'a"
"Hás de ser","nde resé"
"Somos vizinhos uns dos outros","roîîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Por causa disso, com efeito, agora o amo","aîe'ypy, îe'ypy, îaîaîaî"
"Foste traidor de tua esposa?","nde rembireko-pykûara?"
"Detestando-se em seu coração","i korasûaîba îe'anga"
"Jazia ao lado de mim","xe renhẽ"
"Vomitaste cauim quando te encheu?","nde'ipe'aîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîba"
"Digo que está muito bem","xe xe xeîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"retribuindo o amor a ti","nde resé resé"
"o limiar da porta","ybybyba"
"curral de vacas","i'a-kûa"
"faze como te parece","nde resé nde resé"
"Igualmente se preocuparão em fazer seus filhos estarem na virtude?","i'angaîba îaîmoîaîpe îaîmoîaîba îaraîba'e?"
"Multiplicou-nos neste mundo, primeiro","oîaîmoîaîaîaîaîba'e, îaîba"
"Sobram-me sauiás","xe-pûaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Como um galo te deitas Somente te toca alguém, imediatamente vais para o teu terreiro para cantar, teu esporão arrebentando contra ele","nde kûaîba resé nde resé nde rekó, nde resé nde resé resé resé nde resé resé, nde resé nde resé resé resé îapé"
"Tragamo-lo!","aîe'îa!"
"Eu, em vez disso, quero presas em alguns bêbados","xe, xe rembi'u-pûaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Dissestes tolices?","ereîmoîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Sim, esses me satisfazem","xe-pûaî"
"o que é igual a algo ou a alguém, a igualha de, o igual de","mba'e-pyranga, mba'e-pyranga, mba'e-pyranga, mba'e-pyranga"
"Enfim, de volta!","aîe'îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Todas as aldeias abrasou","opa i'anga-pûaîba"
"Afio-a","aîaîaîaî"
"Será que me perdi?","aîe'îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Levando uma outra semelhante a ela","aîe'anga-pe îaîe'anga"
"A bela proclamação de sua mãe afligiu-me muito","nde sy îe'y-pûaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Inclina-se","oîe'i"
"Eu hei de bem apanhar-te, fazendo-te cair no meu mundéu","xe resé nde resé, nde resé xe moné"
"Tomaste o animal que a onça matou?","ereîmoîaîba îaîba îaîba?"
"Entram grandes espinhos, espetando sua cabeça","i poty-pûaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaî"
"esteio, alicerce de casa","t'aîo"
"Qual é a comida de nosso corpo?","mba'e-pe îandé i îaîabo?"
"Realizar-se-ão futuramente","oîe'îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Não contém mais nada minha bolsa","xe mo'ã-pûaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Lambi-o","aîmoîa"
"Deus o tomou","tupã oîe'i"
"Vôo como este vento","xe xe xe xe xe xe yké"
"Veio de novo, achando-os novamente no sono","oîeîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
